Date,Bloomberg US Weekly Consumer Comfort Index,National Economy,Expectations: Economy Better/Worse Diff,Unemployment Rate,Personal Income,,,
12/31/2000,63,74,46,3.9,6.6302,,,
12/24/2000,63,77,46,3.9,7.4914,,,
12/17/2000,63,76,46,3.9,7.4914,,,
12/10/2000,63,76,46,3.9,7.4914,,,
12/3/2000,65,77,46,3.9,7.4914,,,
11/30/2000,65,77,46,3.9,7.4914,,,
11/26/2000,65,77,46,3.9,8.2691,,,
11/19/2000,64,77,46,3.9,8.2691,,,
11/12/2000,65,77,46,3.9,8.2691,,,
11/5/2000,64,76,46,3.9,8.2691,,,
10/31/2000,63,75,46,3.9,8.2691,,,
10/29/2000,63,75,46,3.9,8.8449,,,
10/22/2000,65,76,46,3.9,8.8449,,,
10/15/2000,66,77,46,3.9,8.8449,,,
10/8/2000,65,78,46,3.9,8.8449,,,
10/1/2000,64,76,46,3.9,8.8449,,,
9/30/2000,65,77,46,3.9,8.8449,,,
9/24/2000,65,77,46,4.1,8.757,,,
9/17/2000,65,76,46,4.1,8.757,,,
9/10/2000,66,77,46,4.1,8.757,,,
9/3/2000,67,78,46,4.1,8.757,,,
8/31/2000,66,76,46,4.1,8.757,,,
8/27/2000,66,76,46,4,8.9511,,,
8/20/2000,67,77,46,4,8.9511,,,
8/13/2000,66,74,46,4,8.9511,,,
8/6/2000,65,74,46,4,8.9511,,,
7/31/2000,65,75,46,4,8.9511,,,
7/30/2000,65,75,49,4,8.6044,,,
7/23/2000,63,71,49,4,8.6044,,,
7/16/2000,64,71,49,4,8.6044,,,
7/9/2000,63,71,49,4,8.6044,,,
7/2/2000,62,70,49,4,8.6044,,,
6/30/2000,62,73,49,4,8.6044,,,
6/25/2000,62,73,49,4,8.4038,,,
6/18/2000,62,72,49,4,8.4038,,,
6/11/2000,63,74,49,4,8.4038,,,
6/4/2000,64,76,49,4,8.4038,,,
5/31/2000,64,76,49,4,8.4038,,,
5/28/2000,64,76,49,3.8,8.2948,,,
5/21/2000,64,76,49,3.8,8.2948,,,
5/14/2000,63,73,49,3.8,8.2948,,,
5/7/2000,63,72,49,3.8,8.2948,,,
4/30/2000,64,73,49,3.8,8.2948,,,
4/23/2000,64,73,49,4,8.2175,,,
4/16/2000,64,74,49,4,8.2175,,,
4/9/2000,63,72,49,4,8.2175,,,
4/2/2000,63,71,49,4,8.2175,,,
3/31/2000,63,73,49,4,8.2175,,,
