,Gross Domestic Product ($B),RetailSales
1992,6539.3,21685.15291
1993,6878.7,23446.15813
1994,7308.8,25695.51502
1995,7664.1,29260.56944
1996,8100.2,31239.79769
1997,8608.5,33794.92697
1998,9089.2,36883.97748
1999,9660.6,41185.34767
2000,10284.8,44710.24427
2001,10621.8,43553.57987
2002,10977.5,46421.77893
2003,11510.7,48958.99391
2004,12274.9,51577.24042
2005,13093.7,54818.66938
2006,13855.9,55017.00459
2007,14477.6,57093.60925
2008,14718.6,55163.41502
2009,14418.7,51162.12395
2010,14964.4,55330.97252
2011,15517.9,58510.56721
2012,16155.3,60681.27488
2013,16691.5,63336.74399
2014,17393.1,63016.46085
2015,18036.6,63438.00987
