"Store","Dept","Date","Weekly_Sales","IsHoliday"
1,8,"2012-05-11",37702.53,FALSE
1,14,"2012-03-09",16528.29,FALSE
1,8,"2011-06-24",34014.16,FALSE
1,25,"2012-07-13",8281.23,FALSE
1,31,"2011-07-15",2939.24,FALSE
1,11,"2012-06-08",35861.22,FALSE
1,27,"2012-06-15",822.19,FALSE
1,21,"2011-03-25",6303.72,FALSE
1,14,"2011-11-11",14903.78,FALSE
1,23,"2010-03-26",19105.92,FALSE
1,21,"2012-05-18",7124.99,FALSE
1,24,"2011-03-04",5691.44,FALSE
1,6,"2010-02-19",6060.26,FALSE
1,21,"2011-10-07",9020.44,FALSE
1,25,"2011-02-25",9337.71,FALSE
1,23,"2011-10-07",18327.16,FALSE
1,26,"2011-05-27",6253.05,FALSE
1,3,"2011-11-04",9189.2,FALSE
1,22,"2010-06-25",6058.56,FALSE
1,28,"2010-11-26",932.76,TRUE
1,27,"2012-04-27",1019.53,FALSE
1,3,"2010-08-20",41101.93,FALSE
1,22,"2011-08-19",6672.27,FALSE
1,28,"2010-05-28",416.53,FALSE
1,3,"2012-07-06",8473.71,FALSE
1,13,"2010-05-14",36499.93,FALSE
1,29,"2011-10-07",4011.5,FALSE
1,31,"2011-01-28",1762.22,FALSE
1,4,"2012-07-27",35197.59,FALSE
1,25,"2010-06-04",13504.5,FALSE
1,2,"2011-09-23",43390.94,FALSE
1,25,"2010-06-04",13504.5,FALSE
1,17,"2011-12-30",10619.45,TRUE
1,4,"2010-09-10",36603.78,TRUE
1,20,"2012-08-31",4602.26,FALSE
1,30,"2010-06-04",4230.56,FALSE
1,16,"2012-04-20",42816.54,FALSE
1,30,"2010-05-21",4342.18,FALSE
1,17,"2011-07-01",7424.91,FALSE
1,30,"2012-06-29",3402.4,FALSE
1,14,"2010-05-28",12218.11,FALSE
1,13,"2012-06-01",41462.8,FALSE
1,8,"2010-11-12",35527.64,FALSE
1,16,"2011-05-13",40944.33,FALSE
1,8,"2012-02-24",37204.72,FALSE
1,30,"2012-01-06",2425.04,FALSE
1,30,"2012-10-26",2830.48,FALSE
