"UID","PropertyName","Lon","Lat","AgencyID","Name","Value","Address","Violations2010","REACNumber","Borough","CD","CityCouncilDistrict","CensusTract","BuildingCount","UnitCount","YearBuilt","Owner","Rental.Coop","OwnerProfitStatus","AffordabilityRestrictions","StartAffordabilityRestrictions"
100000,"1018 DEVELOPMENT",-73.89243792,40.82060409,"BBL 2-02723-0040;HUD Property 800016127","1018 DEVELOPMENT",2041200,"1010 EAST 163 STREET",3,94,"Bronx","BX02: Hunts Point/Longwood",17,"Bronx 89",1,97,1909,"1018 DEVELOPMENT CO","Rental","","Affordable",1979
100001,"1041 BUSHWICK AVENUE APTS",-73.92065414,40.69129753,"BBL 3-03331-0036;HUD Property 800016130","1041 BUSHWICK AVENUE APTS",897300,"1041 BUSHWICK AVENUE",0,92,"Brooklyn","BK04: Bushwick",34,"Brooklyn 399",1,48,1924,"1041 BUSHWICK AVE ASS","Rental","","Affordable",1980
100002,"1085 MANHATTAN DEVELOPMENT",-73.95547263,40.73569349,"BBL 3-02495-0042;HUD Property 800016133","1085 MANHATTAN DEVELOPMENT",253490,"1085 MANHATTAN AVENUE",0,98,"Brooklyn","BK01: Greenpoint/Williamsburg",33,"Brooklyn 563",1,12,1931,"MANHATTAN AVE ASSOCS","Rental","","Affordable",1978
100003,"1184 DEVELOPMENT",-73.95126798,40.66783308,"BBL 3-01282-0036;HUD Property 800016134","1184 DEVELOPMENT",306900,"1184 PRESIDENT STREET",0,81,"Brooklyn","BK09: South Crown Heights/Lefferts Gardens",35,"Brooklyn 321",1,19,1915,"1184 ASSOCIATES","Rental","","Affordable",1981
100004,"119 RALPH AVENUE",-73.92307988,40.68598257,"BBL 3-01487-0005;HUD Property 800016135","119 RALPH AVENUE",30559,"119 RALPH AVENUE",3,24,"Brooklyn","BK03: Bedford Stuyvesant",41,"Brooklyn 375",1,7,1905,"NIKKI KIND, INC","Rental","","Not Affordable",1977
100005,"1199 PLAZA",-73.93758129,40.79068972,"BBL 1-01701-0001;HPD Property C1023;HUD Property 800016137","1199 PLAZA;2070-2090 First Avenue;2100-2110 First Avenue;2120-2130 First Avenue;425 East 111th Street;429 East 110th Street;ELEVEN NINETY-NINE PLAZA",216612000,"2070 1 AVENUE;2090 1 AVENUE;2116 1 AVENUE;425 EAST 110 STREET",6,34,"Manhattan","MN11: East Harlem",8,"Manhattan 162",4,1594,1974,"1199 HOUSING CORP","Coop","","Affordable",1974
100006,"130-136 WEST 142ND STREET APTS",-73.93887725,40.81879635,"BBL 1-02010-0042;HUD Property 800079048;SHARS 19940985","130 W 142 ST;130-136 WEST 142ND STREET APTS;WEST 142ND STREET ASSOCIATES L.P",905400,"130 WEST 142 STREET",0,64,"Manhattan","MN10: Central Harlem",9,"Manhattan 230",1,61,1910,"WEST 142ND STREET ASS","Rental","","Affordable",1994
100007,"1451 DEVELOPMENT",-73.92855236,40.67341231,"BBL 3-01361-0061;HUD Property 800016138","1451 DEVELOPMENT",686430,"1441 PROSPECT PLACE",0,93,"Brooklyn","BK08: Crown Heights/Prospect Heights",36,"Brooklyn 347",1,34,1926,"1451 ASSOCIATES","Rental","","Affordable",1983
100008,"1569 DEVELOPMENT",-73.92411852,40.67312951,"BBL 3-01363-0078;HUD Property 800016141","1569 DEVELOPMENT",534300,"1569 PROSPECT PLACE",32,59,"Brooklyn","BK08: Crown Heights/Prospect Heights",41,"Brooklyn 359",1,39,1926,"PROSPECT PL ASSOC","Rental","","Affordable",1974
100009,"158-160 STANTON STREET",-73.98493123,40.72058852,"BBL 1-00350-0034;BBL 1-00350-0035;HUD Property 800016142","158-160 STANTON STREET",727608,"158 STANTON STREET;160 STANTON STREET",0,69,"Manhattan","MN03: Lower East Side/Chinatown",1,"Manhattan 30.01",2,20,1900,"158-60 STANTON ST LLC","Rental","","Affordable",1976
