Source: http://www.forbes.com/sites/nataliesportelli/2016/07/06/the-full-list-of-americas-top-colleges-2016/#191c50d569a4,,
Rank,Name,State
1,Stanford University,CA
2,Williams College,MA
3,Princeton University,NJ
4,Harvard University,MA
5,Massachusetts Institute of Technology,MA
6,Yale University,CT
7,Pomona College,CA
8,Brown University,RI
9,Wesleyan University,CT
10,Swarthmore College,PA
11,University of Pennsylvania,PA
12,Amherst College,MA
13,University of Notre Dame,IN
14,United States Military Academy,NY
15,Northwestern University,IL
16,Columbia University,NY
17,Dartmouth College,NH
18,Tufts University,MA
19,Bowdoin College,ME
20,University of Chicago,IL
21,Georgetown University,DC
22,Boston College,MA
23,Haverford College,PA
24,United States Naval Academy,MD
25,Davidson College,NC
26,Duke University,NC
27,Carleton College,MN
28,Claremont McKenna College,CA
29,Washington and Lee University,VA
30,Cornell University,NY
31,Rice University,TX
32,Wellesley College,MA
33,Vassar College,NY
34,Middlebury College,VT
35,United States Air Force Academy,CO
36,University of Virginia,VA
37,Barnard College,NY
38,College of William & Mary,VA
39,California Institute of Technology,CA
40,"University of California, Berkeley",CA
41,Colby College,ME
42,Colgate University,NY
43,Oberlin College,OH
44,University of Michigan,MI
45,Vanderbilt University,TN
46,"University of California, Los Angeles",CA
47,"University of North Carolina, Chapel Hill",NC
48,Kenyon College,OH
49,Bucknell University,PA
50,Hamilton College,NY
51,College of the Holy Cross,MA
52,Bates College,ME
53,Whitman College,WA
54,Smith College,MA
55,Lafayette College,PA
56,Franklin & Marshall College,PA
57,Colorado College,CO
58,University of Rochester,NY
59,Harvey Mudd College,CA
60,Washington University in St. Louis,MO
61,Wake Forest University,NC
62,Villanova University,PA
63,Carnegie Mellon University,PA
64,Reed College,OR
65,University of Southern California,CA
66,Johns Hopkins University,MD
67,Macalester College,MN
68,"University of Wisconsin, Madison",WI
69,Bryn Mawr College,PA
70,Union College (New York),NY
71,"University of Illinois, Urbana-Champaign",IL
72,Grinnell College,IA
73,Brandeis University,MA
74,Emory University,GA
75,University of Washington,WA
76,Lehigh University,PA
77,New York University,NY
78,University of Florida,FL
79,Boston University,MA
80,Dickinson College,PA
81,Connecticut College,CT
82,University of Maryland,MD
83,Scripps College,CA
84,Trinity College (Connecticut),CT
85,Skidmore College,NY
86,Brigham Young University,UT
87,Wheaton College (Illinois),IL
88,Santa Clara University,CA
89,Georgia Institute of Technology,GA
90,Kalamazoo College,MI
91,DePauw University,IN
92,Cooper Union,NY
93,"University of Texas, Austin",TX
94,Sewanee: The University of the South,TN
95,University of Georgia,GA
96,Trinity University (Texas),TX
97,Rhodes College,TN
98,Denison University,OH
99,Occidental College,CA
100,Centre College,KY
101,University of Richmond,VA
102,Mount Holyoke College,MA
103,George Washington University,DC
104,Babson College,MA
105,St. Olaf College,MN
106,Wofford College,SC
107,Furman University,SC
108,Rhode Island School of Design,RI
109,Case Western Reserve University,OH
110,Sarah Lawrence College,NY
111,Providence College,RI
112,University of Miami (Florida),FL
113,United States Coast Guard Academy,CT
114,"University of California, Santa Barbara",CA
115,"Indiana University, Bloomington",IN
116,Southern Methodist University,TX
117,"University of California, San Diego",CA
118,Virginia Polytechnic Institute and State University,VA
119,"University of Minnesota, Twin Cities",MN
120,"University of Colorado, Boulder",CO
121,Gettysburg College,PA
122,Bard College,NY
123,Pitzer College,CA
124,American University,DC
125,"University of California, Davis",CA
126,Hobart and William Smith Colleges,NY
127,Purdue University,IN
128,Muhlenberg College,PA
129,Tulane University,LA
130,Pepperdine University,CA
131,St. John's University (Minnesota),MN
132,Earlham College,IN
133,College of Wooster,OH
134,Lawrence University,WI
135,Rensselaer Polytechnic Institute,NY
136,Drake University,IA
137,University of Delaware,DE
138,University of Vermont,VT
139,University of Denver,CO
140,Colorado School of Mines,CO
141,Rutgers University,NJ
142,Texas A&M University,TX
143,Bennington College,VT
144,Syracuse University,NY
145,Fordham University,NY
146,Beloit College,WI
147,University of Connecticut,CT
148,Willamette University,OR
149,Michigan State University,MI
150,Loyola Marymount University,CA
151,Hampshire College,MA
152,Wabash College,IN
153,St. Lawrence University,NY
154,College of the Atlantic,ME
155,Hope College,MI
156,Lewis & Clark College,OR
157,Marquette University,WI
158,Westmont College,CA
159,University of Utah,UT
160,Ohio State University,OH
161,Hendrix College,AR
162,"University of California, Irvine",CA
163,Virginia Military Institute,VA
164,Pennsylvania State University,PA
165,Fairfield University,CT
166,Worcester Polytechnic Institute,MA
167,California Polytechnic State University,CA
168,Clemson University,SC
169,"St. John's College, Annapolis",MD
170,Elon University,NC
171,Louisiana State University,LA
172,Juniata College,PA
173,Gustavus Adolphus College,MN
174,James Madison University,VA
175,Ursinus College,PA
176,"SUNY, Binghamton (Binghamton University)",NY
177,Florida State University,FL
178,Bentley University,MA
179,College of New Jersey,NJ
180,Miami University (Ohio),OH
181,Gonzaga University,WA
182,University of Portland,OR
183,Rose-Hulman Institute of Technology,IN
184,University of Iowa,IA
185,Baylor University,TX
186,Emerson College,MA
187,Calvin College,MI
188,Clark University (Massachusetts),MA
189,North Carolina State University,NC
190,Hillsdale College,MI
191,Knox College,IL
192,University of Puget Sound,WA
193,Loyola University Maryland,MD
194,University of Redlands,CA
195,Yeshiva University,NY
196,Auburn University,AL
197,Samford University,AL
198,St. Michael's College,VT
199,University of Oklahoma,OK
200,"University of California, Santa Cruz",CA
201,University of New Hampshire,NH
202,University of South Carolina,SC
203,University of Dayton,OH
204,University of Pittsburgh,PA
205,"University of Massachusetts, Amherst",MA
206,St. Mary's College of Maryland,MD
207,New College of Florida,FL
208,College of the Ozarks (Missouri),MO
209,University of Tulsa,OK
210,Texas Christian University,TX
211,University of San Diego,CA
212,Stonehill College,MA
213,College of Idaho,ID
214,Creighton University,NE
215,Northeastern University,MA
216,University of Missouri,MO
217,St. Anselm College,NH
218,St. Louis University,MO
219,University of Oregon,OR
220,University of Arizona,AZ
221,St. Mary's College (Indiana),IN
222,Hampden-Sydney College,VA
223,St. Joseph's University (Pennsylvania),PA
224,Clarkson University,NY
225,Luther College,IA
226,Butler University,IN
227,United States Merchant Marine Academy,NY
228,"CUNY, City College",NY
229,University of St. Thomas (Minnesota),MN
230,Transylvania University,KY
231,University of San Francisco,CA
232,St. Mary's College of California,CA
233,Manhattan College,NY
234,Illinois Wesleyan University,IL
235,Catholic University of America,DC
236,"SUNY, Geneseo",NY
237,George Mason University,VA
238,"University of Nebraska, Lincoln",NE
239,Ithaca College,NY
240,Wheaton College (Massachusetts),MA
241,University of Wyoming,WY
242,San Diego State University,CA
243,University of Scranton,PA
244,Truman State University,MO
245,"SUNY, Buffalo (University at Buffalo)",NY
246,Wittenberg University,OH
247,Hanover College,IN
248,Stevens Institute of Technology,NJ
249,Linfield College,OR
250,Grove City College,PA
251,Thomas Aquinas College,CA
252,University of Alabama,AL
253,University of Kansas,KS
254,Whitworth University,WA
255,"SUNY, Stony Brook (Stony Brook University)",NY
256,College of St. Benedict,MN
257,Iowa State University,IA
258,"CUNY, Baruch College",NY
259,Bradley University,IL
260,Valparaiso University,IN
261,Seattle University,WA
262,Albion College,MI
263,Southwestern University,TX
264,Illinois Institute of Technology,IL
265,Rollins College,FL
266,"University of Tennessee, Knoxville",TN
267,Presbyterian College,SC
268,University of Arkansas,AR
269,"University of California, Riverside",CA
270,Taylor University,IN
271,"Citadel, The Military College of South Carolina",SC
272,Cornell College (Iowa),IA
273,New School,NY
274,Drew University,NJ
275,University of Mary Washington,VA
276,University of Dallas,TX
277,"CUNY, Queens College",NY
278,Arizona State University,AZ
279,Loyola University Chicago,IL
280,DePaul University,IL
281,Austin College,TX
282,Washington & Jefferson College,PA
283,John Carroll University,OH
284,Bryant University,RI
285,Allegheny College,PA
286,Goucher College,MD
287,Agnes Scott College,GA
288,"CUNY, Brooklyn College",NY
289,"St. John's College, Santa Fe",NM
290,Spelman College,GA
291,"CUNY, Hunter College",NY
292,Nebraska Wesleyan University,NE
293,Washington College,MD
294,Duquesne University,PA
295,Seattle Pacific University,WA
296,Siena College,NY
297,Colorado State University,CO
298,Simmons College,MA
299,Seton Hall University,NJ
300,Pacific Lutheran University,WA
